Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,1330.000000,1337.449951,1317.229980,1318.459961,1318.459961,0
2012-01-04,1311.979980,1316.810059,1302.780029,1314.969971,1314.969971,0
2012-01-05,1315.939941,1332.099976,1311.959961,1330.420044,1330.420044,0
2012-01-06,1331.020020,1336.660034,1323.750000,1334.189941,1334.189941,0
2012-01-09,1338.910034,1348.290039,1332.680054,1343.229980,1343.229980,0
2012-01-10,1358.569946,1364.949951,1351.750000,1356.910034,1356.910034,0
2012-01-11,1355.010010,1363.739990,1353.390015,1361.290039,1361.290039,0
2012-01-12,1362.569946,1369.599976,1352.280029,1367.280029,1367.280029,0
2012-01-13,1361.719971,1361.739990,1341.260010,1350.199951,1350.199951,0
2012-01-17,1365.280029,1369.250000,1356.770020,1361.020020,1361.020020,0
2012-01-18,1370.780029,1398.400024,1370.699951,1397.819946,1397.819946,0
2012-01-19,1408.839966,1421.449951,1407.869995,1416.390015,1416.390015,0
2012-01-20,1411.130005,1417.989990,1410.079956,1414.359985,1414.359985,0
2012-01-23,1412.989990,1419.439941,1398.329956,1409.030029,1409.030029,0
2012-01-24,1405.719971,1418.140015,1402.829956,1415.869995,1415.869995,0
2012-01-25,1423.459961,1431.219971,1409.430054,1428.219971,1428.219971,0
2012-01-26,1430.680054,1437.349976,1407.770020,1414.520020,1414.520020,0
2012-01-27,1410.869995,1427.079956,1410.420044,1422.579956,1422.579956,0
2012-01-30,1407.489990,1424.589966,1400.949951,1421.359985,1421.359985,0
2012-01-31,1429.319946,1431.160034,1413.280029,1423.359985,1423.359985,0
2012-02-01,1444.150024,1461.869995,1437.170044,1453.869995,1453.869995,0
2012-02-02,1456.329956,1470.290039,1455.750000,1462.619995,1462.619995,0
2012-02-03,1478.010010,1489.640015,1475.150024,1485.170044,1485.170044,0
2012-02-06,1477.339966,1477.339966,1468.280029,1473.199951,1473.199951,0
2012-02-07,1471.109985,1481.040039,1463.819946,1476.319946,1476.319946,0
2012-02-08,1480.050049,1496.079956,1478.469971,1490.280029,1490.280029,0
2012-02-09,1500.560059,1502.839966,1489.540039,1501.930054,1501.930054,0
2012-02-10,1482.770020,1483.650024,1471.339966,1477.290039,1477.290039,0
